phase,day,species,toxicity
Intoxication,0,C1/2,0
Intoxication,2,C1/2,10
Intoxication,4,C1/2,30
Intoxication,5,C1/2,85
Depuration,6,C1/2,32
Depuration,8,C1/2,25
Depuration,10,C1/2,20
Intoxication,0,C3/4,0
Intoxication,2,C3/4,7
Intoxication,4,C3/4,15
Intoxication,5,C3/4,40
Depuration,6,C3/4,14
Depuration,8,C3/4,11
Depuration,10,C3/4,8
Intoxication,0,GTX1/4,0
Intoxication,2,GTX1/4,2
Intoxication,4,GTX1/4,5
Intoxication,5,GTX1/4,13
Depuration,6,GTX1/4,6
Depuration,8,GTX1/4,5
Depuration,10,GTX1/4,4
Intoxication,0,GTX2/3,0
Intoxication,2,GTX2/3,4
Intoxication,4,GTX2/3,12
Intoxication,5,GTX2/3,20
Depuration,6,GTX2/3,11
Depuration,8,GTX2/3,9
Depuration,10,GTX2/3,6
Intoxication,0,GTX5,0
Intoxication,2,GTX5,3
Intoxication,4,GTX5,10
Intoxication,5,GTX5,18
Depuration,6,GTX5,10
Depuration,8,GTX5,8
Depuration,10,GTX5,6
Intoxication,0,GTX6,0
Intoxication,2,GTX6,2
Intoxication,4,GTX6,7
Intoxication,5,GTX6,15
Depuration,6,GTX6,7
Depuration,8,GTX6,6
Depuration,10,GTX6,4
Intoxication,0,NEO,0
Intoxication,2,NEO,1
Intoxication,4,NEO,4
Intoxication,5,NEO,7
Depuration,6,NEO,4
Depuration,8,NEO,3
Depuration,10,NEO,2