Gastropod species*,"Toxin Source""",Toxin Level«,Notes,Location,,Ref.
Uttorina sitkana,Gonyaulax tamarensis,Trace,Whole snails,Washington,,MacDonald (1970)
Littorina littorea,Probably A. tamarense,72,2 cases of PSP; victims,Massachusett,,Tufts et al. (1975);
Polinices hems,,1450,ate both species of snail,,,Tufts (1979)
Littorina littorea,Alexandrium tamarense,37,Whole snails,New Brunswic,inada,Matter (1993)
Thais lapillus,G. tamarensis,34,,Maine,,Goggins (1961)
Buccinum undatum,G. tamarensis,Whole body: 608,12 cases of PSP,Quebec,,Medcof (1972);
"",,digestive gland: 1600,4 deaths,Quebec,,Prakash et al. (1971)
"",G. excavata,Not given,Snail mortalities,Faroe Islands,,Mortensen (1985)
"",G. tamarensis,1096 MU 100 g-<,Fed toxic mussels in,Great Britain,,Ingham et al. (1968)
"",,,laboratory,,,
Turbo marmorata,Jania sp.,4.2 MU g-',All grazers,Japan,,Yasumoto and Kotaki
Turbo argyrostoma,,20 MU g-<,,,,"(1977, 1983); Kotaki"
Tectus pyramls,,19 MU g-',,,,"et al. (1981, 1983);"
Tectus nilotica maxima,,5MUg- ',,,,Kanno et al. (1976)
Zidona angulata,A. excavatum,Not given,One mild case of PSP,Argentina,,Elbusto et al. (1991)
Haliotis tuberculata,Gymnodinium,0.78 ng/g meat,All browsers; tests for,Spain,,Martinez et al. (1993)
Littorina sp.,catenatum (?),None detected,DSP negative,,,
Patella sp.,,None detected,in all species,,,
Oliva vidua fulmlnans,Pyrodinlum,2525 MU 100 g-<,5 human fatalities;,Malaysia,,Sang and Ming (1984);
"",bahamense,,8 cases of PSP,,,Ming and Wong (1989);
"",,,,,,Kan et al. (1986)
Polinices duplicata,Gonyaulax monilata,Not given,Snail mortalities,Texas,,Wardleetal. (1974)
Thais haemastoma,,,,,,
Tekuyong,Pyrodinium,71-876 MU 100 g-1,,Borneo,,Jaafar and Sburamaniam
"",bahamense,,,,,(1984); Jaafaretal.
"",,,,,,(1989)
Lunatia hems,A. tamarense,247,,"Gulf of St. Lawrence,",Worms et al. (1993)
"",,,,Canada,
Lambis lambis,Pyrodinium,ND-175 MU 100 g-1,Several cases of PSP,"Sabah, Malaysia",Sang and Ming (1984)
"",bahamense,very toxic,,,Ming and Wong (1989)
Nassarius sp.,Probably A. catenella,9,Scavengers,Washington,Beitler (1992)
Buccinum undatum,A. tamarense,3337,Illnesses and deaths,"Gulf of Maine, USA",White et al. (1993);
Euspira heros,,2922,,,Prakash et al. (1971);
Neptunea decemcostata,,1060,Steamed; «3000-4000 raw,,Hurst (unpublished);
Crepidula fornicata,,46-58,,,Bond (1975)
Colus stimpsoni,,Toxic,,,
Thais lapillus,,Toxic,,,
Polinices lewisii,G. acatenella,176-600,Not specified,British Columbia,Quayle (1969);
"",,,,,Matter (1993)
Thais lamellosa,A. catenella,Positive,Whole snails,Washington,MacDonald (1970)
T. lima,,180,Whole snails,,
Thais sp.,,23,GTX 2 + 3 only,,Beitler (1992)
Neptunea spp.,A. catenella,200-250,Whole individuals,Alaska,Matter (1993)
Argobuccinum sp.,A. catenella,5629,Stomach,Chile,Uribe (1995)
"",,92,Muscle,,
Adelamelon ancilla,,Toxic,,,
Trophon sp.,,Toxic,,,
Concholepas concholepas,,Toxic,,,
Busycon spp.,A. tamarense,50-500,Not specified,Quebec,Matter (1993)
Nassarius sp.,Prorocentrum minimum,1820-1890 MU 100,,Zhengjiang and,Chen and Gu (1993)
"",,,,"Fuziang, China",
Gastropod species*,Toxin Source1*,Toxin Level0,Notes,,Location,Ref.
Zeuxis siquijorensis,Tetrodotoxin,3.4 MU g-',Edible parts,Japan,,Narita et al. (1984)
Niotha clathrata,Tetrodotoxin,35 MU g-',Edible parts,Japan,,. Jeon et al. (1984)
Natica lineata,Tetrodotoxin,12 MU g-1,Digestive gland,Taiwan,,Hwang et al. (1990)
"",Anhydrotetrodotoxin,720 MU g-',Muscle,,,
Rapana rapiformis,Tetrodotoxin,140 MU g-1,Digestive gland,Taiwan,,Hwang et al. (1991)
Rapana venosa venosa,,13 MU g-1,Digestive gland,,,
Charonia sauliae,Tetrodotoxin from,1950 MU g-',Illnesses and,Japan,,Shiomi et al. (1984);
Babylonia Japonica,starfish and,180 MU g-<,deaths,,,"Noguchi et al. (1981a),"
"",pufferfish,,,,,1992); Narita et al.
Tutufa lissostoma,,700 MU g-',Digestive glands/,Japan,,Yasumoto et al. (1981);
"",,,toxic year round,,,Noguchi et al. (1984)
Crustacean species,Toxin source*,"Toxin level""6",Notes,Location,Ref.
Crabs,,,,,
Actaeodes tomentosus,Jania sp. (?),5.9 MU g-1,Human illnesses and,Japan,"Yasumoto et al. (1981, 1983);"
Atergatis floridus,,9000 MU g-<,mortalities,,Hashimoto et al. (1967);
Eriphia scabricula,,120 MU g-1,,,Inoue et al. (1968);
Neoxanthias impressus,,10 MU g-',,,Kotaki et al. (1983);
Percnon planissimum,,7.4 MU g-1,,,Noguchietal. (1969;
Pilumnus vespertilio,,6.1 MU g-1,,,"1983a,b); Mote et al. (1970)"
Platypodia granulosa,,5000 MU g-*,,,
Schizophrys aspera,,2.3 MU g-',,,
Thalamita sp.,,80 MU g-<,,,
Zosimus aeneus,,16500 MU g-',Highly variable,Ishigaki Island,Koyama et al. (1983);
"",,2000 MU g-1,Appendages,,Konosu et al. (1970)
"",,800 MU g-1,Céphalothorax,,
"",,1260 MU g-',Whole body (calculated),,
Portunus pelagicus,Pyrodinium bahamense,175 MU 100 g-1,Whole crab,"Sabah, Malaysia",Sang and Ming (1984)
"",,288 MU g-1,Gills,,
"",,328 MU g-',Guts,,
"",,ND,Flesh,,
Cancer magister,Gonyaulax catenella,72,Viscera,Washington,Washington Dept.
"",,,,,Soc. Health Services (1980)
Cancer irroratus,Gonyaulax tamarensis,242,Hepatopancreas,Laboratory study;,Foxall et al. (1979)
"",,,,fed toxic clams,
Cancer productus,Gonyaulax catenella,285,Viscera,Washington,Jonas Davies and Liston
"",,ND-27,Muscle,,(1985)
Cancer borealis,Gonyaulax tamarensis,56,Not specified,Maine,Goggins (1961)
Cancer magister,Pseudonitzschia,"485 ppm DA""",Viscera,"Pacific Coast,",Villacetal. (1993);
stone crab,P. delicatissima,176 ppm,Gut,USA,Anonymous (1992);
"",Others ?,105 ppm,Body meat,,DFO (1992); Wekell et al.
"",,,,,(1995)
Fabia subquadrata,,Gonyaulax catenella,,32,Whole crabs;,Washington,MacDonald (1970),
"",,,,,commensal in butterclams,,,
Pagurus sp.,,Gonyaulax catenella,,35,Whole crabs,Washington,MacDonald (1970),
Pugettia products,,Gonyaulax catenella,,146,Eggs,Maine,Goggins (1961),
"",,,,1710,Viscera,,,
"",,,,48,Muscle,,,
Hemigrapsus oregonensis,,Gonyaulax catenella,,32,Not specified,Washington,Jonas-Davies and Uston,
Hemigrapsus nudus,,,,44,"Whole bodies, legs",,(1985); Barber et al. (1988);,
"",,,,,and carapace removed,,MacDonald (1970),
Emerita analoga,,Gonyaulax sp.,,>60 mg*,Filter-feeder; whole crab,California,Sommer (1932),
"",,,,250 mg,Viscera,,,
"",,,,10 mg,Muscles,,,
Crab,,Pyrodinium bahamense,,339 MU 100 g-*,Not specified,Brunei Darussalam,Jaafar and Subramaniam,
Lophozozymus pictor,,Unknown,,18.9 MU g-',Homogenized crabs,Australia,Llewellyn and Endean,(1989)
"",,,,0.3 MU g-1,Moult,,,
Thalamita stimpsoni,,Unknown,,4.9 MU g-1,Whole crabs,Australia,Llewellyn and Endean,(1987)
Atergatis floridus,,Tetrodotoxin,,Not specified,STX/neoSTX also,Japan,Noguchietal. (1984);,
"",,,,,present; first record,,Noguchietal. (1983),
"",,,,,of TTX in arthropod,,,
Mangrove crabs,,Pyrodinium,bahamense,239 MU 100 g-',Guts,"Sabah, Malaysia",Sang and Ming (1984),
"",,,,175 MU 100 g-',Gills,,,
"",,,,ND,Flesh,,,
Crustacean species,Toxin source*,"Toxin level""*",Notes,Location,Ret.
LOBSTERS,,,,,
Panulirus versicolor,Pyrodinium bahamense,175 MU 100 g-<,Whole lobster,"Sabah, Malaysia",Sang and Ming (1984)
"",,175 MU 100 g-1,Body only,,
"",,ND MU 100 g-1,Tall only,,
Panulirus longlpes,Pyrodinium bahamense,211 MU 100 g-',Whole lobster,"Sabah, Malaysia",Sang and Ming (1984)
"",,177 MU 100 g-1,Head and legs,,
"",,ND,Tail only,,
Homarvs americanus,Gonyaulax tamarensis,60,Hepatopancreas,Laboratory study;,Foxall et al. (1979)
"",,3,Tail muscle .,fed toxic clams,
"",,21,Appendage muscle,,
Homarus americanus,Alexandrium tamarense,429,Hepatopancreas (raw),Gulf of Maine,Sherman (unpublished)
"",,110,Hepatopancreas (cooked);,,
"",,,lobsters fed toxic scallops,,
"",,,In laboratory,,
"",,124,Hepatopancreas (raw),Nova Scotia,Watson-Wright et al.
"",,64,Hepatopancreas (cooked);,,(1991)
"",,,mean values (n-20),,
Homarvs americanus,Alexandrium tamarense,1654,Hepatopancreas (raw),"Cutler, Maine",Hurst (unpublished)
"",,540,Hepatopancreas (cooked),,
"",,ND,Muscle,,
Homarus americanus,Alexandrium tamarense,1512,Hepatopancreas,"Bay of Gaspe,",Desblens and Cembella
"",,,(bioassay),Canada,(1995)
"",,961,Hepatopancreas (HPLC),,
"",,69,Meat (HPLC),,
Homarus americanus,Alexandrium tamarense,275-3200,Hepatopancreas,Laboratory study; fed,Hayaetal. (1992)
"",,ND,Tail muscle,toxic scallop viscera,
Spiny lobster,Pseudonitzschia,12 ppm DAd,Gut,"Pacific Coast, USA",DFO (1992); Villac et al
"",P. delicatissima,,,,(1993); Anon. (1992)
"",Others ?,,,,
SHRIMP,,,,,
Penacidae,Pyrodinium bahamense,175MU100g-',Frozen tails for export,"Sabah, Malaysia",Sang and Ming (1984)
"",,268MU100g-',Body only,,
Penaeid prawn,Pyrodinium bahamense,190 MU 100 g-1,Not specified,Brunei Darussalam,Jaafar and Subramaniam
"",,,,,(1984)
HORSESHOE CRAB,,,,,
Carcinoscorpius,Unknown,25 MU 100 g-',"Exoskeleton, muscle",Thailand,Fusetani et al. (1982)
rotundicauda,(resembles STX),65 MU 100 g-1,Eggs,,
"",,75 MU 100 9-',Hepatopancreas,,
"",,10 MU 100 g-1,Stomach and contents,,
"",,85 MU 100 g-1,Gills,,
"",,50 MU 100 g-',Coelomlo fluid,,
"",,35 MU 100 g-1,Tail,,
"",Tetrodotoxin,16 MU g-1,Eggs; some STX/,Gulf of Thai,Kungsuwan et al. (1987)
"",,,neoSTX also present;,,
"",,,human illnesses,,
"",Tetrodotoxin,65 MU g-1,Hepatopancreas,Thailand,Saitanu et al. (1987)
